Keanu,Neo,TheMatrix
Carrie,Trinity,TheMatrix
Laurence,Morpheus,TheMatrix
Hugo,Agent Smith,TheMatrix
Emil,Emil,TheMatrix
Keanu,Neo,TheMatrixReloaded
Carrie,Trinity,TheMatrixReloaded
Laurence,Morpheus,TheMatrixReloaded
Hugo,Agent Smith,TheMatrixReloaded
Keanu,Neo,TheMatrixRevolutions
Carrie,Trinity,TheMatrixRevolutions
Laurence,Morpheus,TheMatrixRevolutions
Hugo,Agent Smith,TheMatrixRevolutions
Keanu,Kevin Lomax,TheDevilsAdvocate
Charlize,Mary Ann Lomax,TheDevilsAdvocate
Al,John Milton,TheDevilsAdvocate
TomC,Lt. Daniel Kaffee,AFewGoodMen
JackN,Col. Nathan R. Jessup,AFewGoodMen
DemiM,Lt. Cdr. JoAnne Galloway,AFewGoodMen
KevinB,Capt. Jack Ross,AFewGoodMen
KieferS,Lt. Jonathan Kendrick,AFewGoodMen
NoahW,Cpl. Jeffrey Barnes,AFewGoodMen
CubaG,Cpl. Carl Hammaker,AFewGoodMen
KevinP,Lt. Sam Weinberg,AFewGoodMen
JTW,Lt. Col. Matthew Andrew Markinson,AFewGoodMen
JamesM,Pfc. Louden Downey,AFewGoodMen
ChristopherG,Dr. Stone,AFewGoodMen
AaronS,Man in Bar,AFewGoodMen
TomC,Maverick,TopGun
KellyM,Charlie,TopGun
ValK,Iceman,TopGun
AnthonyE,Goose,TopGun
TomS,Viper,TopGun
MegR,Carole,TopGun
TomC,Jerry Maguire,JerryMaguire
CubaG,Rod Tidwell,JerryMaguire
ReneeZ,Dorothy Boyd,JerryMaguire
KellyP,Avery Bishop,JerryMaguire
JerryO,Frank Cushman,JerryMaguire
JayM,Bob Sugar,JerryMaguire
BonnieH,Laurel Boyd,JerryMaguire
ReginaK,Marcee Tidwell,JerryMaguire
JonathanL,Ray Boyd,JerryMaguire
WilW,Gordie Lachance,StandByMe
RiverP,Chris Chambers,StandByMe
JerryO,Vern Tessio,StandByMe
CoreyF,Teddy Duchamp,StandByMe
JohnC,Denny Lachance,StandByMe
KieferS,Ace Merrill,StandByMe
MarshallB,Mr. Lachance,StandByMe
JackN,Melvin Udall,AsGoodAsItGets
HelenH,Carol Connelly,AsGoodAsItGets
GregK,Simon Bishop,AsGoodAsItGets
CubaG,Frank Sachs,AsGoodAsItGets
Robin,Chris Nielsen,WhatDreamsMayCome
CubaG,Albert Lewis,WhatDreamsMayCome
AnnabellaS,Annie Collins-Nielsen,WhatDreamsMayCome
MaxS,The Tracker,WhatDreamsMayCome
WernerH,The Face,WhatDreamsMayCome
EthanH,Ishmael Chambers,SnowFallingonCedars
RickY,Kazuo Miyamoto,SnowFallingonCedars
MaxS,Nels Gudmundsson,SnowFallingonCedars
JamesC,Judge Fielding,SnowFallingonCedars
TomH,Joe Fox,YouveGotMail
MegR,Kathleen Kelly,YouveGotMail
GregK,Frank Navasky,YouveGotMail
ParkerP,Patricia Eden,YouveGotMail
DaveC,Kevin Jackson,YouveGotMail
SteveZ,George Pappas,YouveGotMail
TomH,Sam Baldwin,SleeplessInSeattle
MegR,Annie Reed,SleeplessInSeattle
RitaW,Suzy,SleeplessInSeattle
BillPull,Walter,SleeplessInSeattle
VictorG,Greg,SleeplessInSeattle
RosieO,Becky,SleeplessInSeattle
TomH,Joe Banks,JoeVersustheVolcano
MegR,"DeDe', 'Angelica Graynamore', 'Patricia Graynamore'",JoeVersustheVolcano
Nathan,Baw,JoeVersustheVolcano
BillyC,Harry Burns,WhenHarryMetSally
MegR,Sally Albright,WhenHarryMetSally
CarrieF,Marie,WhenHarryMetSally
BrunoK,Jess,WhenHarryMetSally
TomH,Mr. White,ThatThingYouDo
LivT,Faye Dolan,ThatThingYouDo
Charlize,Tina,ThatThingYouDo
Keanu,Shane Falco,TheReplacements
Brooke,Annabelle Farrell,TheReplacements
Gene,Jimmy McGinty,TheReplacements
Orlando,Clifford Franklin,TheReplacements
MarshallB,Admiral,RescueDawn
ChristianB,Dieter Dengler,RescueDawn
ZachG,Squad Leader,RescueDawn
SteveZ,Duane,RescueDawn
Robin,Armand Goldman,TheBirdcage
Nathan,Albert Goldman,TheBirdcage
Gene,Sen. Kevin Keeley,TheBirdcage
RichardH,English Bob,Unforgiven
ClintE,Bill Munny,Unforgiven
Gene,Little Bill Daggett,Unforgiven
Keanu,Johnny Mnemonic,JohnnyMnemonic
Takeshi,Takahashi,JohnnyMnemonic
Dina,Jane,JohnnyMnemonic
IceT,J-Bone,JohnnyMnemonic
TomH,"Zachry', 'Dr. Henry Goose', 'Isaac Sachs', 'Dermot Hoggins'",CloudAtlas
Hugo,"Bill Smoke', 'Haskell Moore', 'Tadeusz Kesselring', 'Nurse Noakes', 'Boardman Mephi', 'Old Georgie'",CloudAtlas
HalleB,"Luisa Rey', 'Jocasta Ayrs', 'Ovid', 'Meronym'",CloudAtlas
JimB,"Vyvyan Ayrs', 'Captain Molyneux', 'Timothy Cavendish'",CloudAtlas
TomH,Dr. Robert Langdon,TheDaVinciCode
IanM,Sir Leight Teabing,TheDaVinciCode
AudreyT,Sophie Neveu,TheDaVinciCode
PaulB,Silas,TheDaVinciCode
Hugo,V,VforVendetta
NatalieP,Evey Hammond,VforVendetta
StephenR,Eric Finch,VforVendetta
JohnH,High Chancellor Adam Sutler,VforVendetta
BenM,Dascomb,VforVendetta
EmileH,Speed Racer,SpeedRacer
JohnG,Pops,SpeedRacer
SusanS,Mom,SpeedRacer
MatthewF,Racer X,SpeedRacer
ChristinaR,Trixie,SpeedRacer
Rain,Taejo Togokahn,SpeedRacer
BenM,Cass Jones,SpeedRacer
Rain,Raizo,NinjaAssassin
NaomieH,Mika Coretti,NinjaAssassin
RickY,Takeshi,NinjaAssassin
BenM,Ryan Maslow,NinjaAssassin
TomH,Paul Edgecomb,TheGreenMile
MichaelD,John Coffey,TheGreenMile
DavidM,"Brutus Brutal"" Howell""",TheGreenMile
BonnieH,Jan Edgecomb,TheGreenMile
JamesC,Warden Hal Moores,TheGreenMile
SamR,Wild Bill Wharton,TheGreenMile
GaryS,Burt Hammersmith,TheGreenMile
PatriciaC,Melinda Moores,TheGreenMile
FrankL,Richard Nixon,FrostNixon
MichaelS,David Frost,FrostNixon
KevinB,Jack Brennan,FrostNixon
OliverP,Bob Zelnick,FrostNixon
SamR,"James Reston, Jr.",FrostNixon
JackN,Hoffa,Hoffa
DannyD,Robert (Bobby) Ciaro,Hoffa
JTW,Frank Fitzsimmons,Hoffa
JohnR,Peter (Pete) Connelly,Hoffa
TomH,Jim Lovell,Apollo13
KevinB,Jack Swigert,Apollo13
EdH,Gene Kranz,Apollo13
BillPax,Fred Haise,Apollo13
GaryS,Ken Mattingly,Apollo13
BillPax,Bill Harding,Twister
HelenH,Dr. Jo Harding,Twister
ZachG,Eddie,Twister
PhilipH,Dustin (Dusty) Davis,Twister
TomH,Chuck Noland,CastAway
HelenH,Kelly Frears,CastAway
JackN,Randle McMurphy,OneFlewOvertheCuckoosNest
DannyD,Martini,OneFlewOvertheCuckoosNest
JackN,Harry Sanborn,SomethingsGottaGive
DianeK,Erica Barry,SomethingsGottaGive
Keanu,Julian Mercer,SomethingsGottaGive
Robin,Andrew Marin,BicentennialMan
OliverP,Rupert Burns,BicentennialMan
TomH,Rep. Charlie Wilson,CharlieWilsonsWar
JuliaR,Joanne Herring,CharlieWilsonsWar
PhilipH,Gust Avrakotos,CharlieWilsonsWar
TomH,"Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus'",ThePolarExpress
TomH,Jimmy Dugan,ALeagueofTheirOwn
GeenaD,Dottie Hinson,ALeagueofTheirOwn
LoriP,Kit Keller,ALeagueofTheirOwn
RosieO,Doris Murphy,ALeagueofTheirOwn
Madonna,(All the Way) Mae Mordabito,ALeagueofTheirOwn
BillPax,Bob Hinson,ALeagueofTheirOwn
KangHoSong,Ki Taek,Parasite
SunKyunLee,Dong Ik,Parasite
YeoJeongJo,Yeon Kyo,Parasite
WooSikChoi,Ki Woo,Parasite
SoDamPark,Ki Jung,Parasite
JoaquinPhoenix,Arthur Fleck,Joker
RobertDeNiro,Murray Franklin,Joker
ZazieBeetz,Sophie Dumond,Joker